"PGCS Private investment as percentage of GDP (%), Name: Private investment as percentage of GDP (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Algeria,17.97,B,15.31,B,17.21,B,16.54,B,15.62,B,16.15,B,16.56,B,16.40,B,15.17,B,15.65,B,14.98,B,14.34,B,14.89,B,13.65,B,15.98,B,15.22,B,13.15,B,12.98,B,12.31,B,12.28,B,15.98,B,20.01,B,19.51,B,19.58,B,24.72,B,23.25,B,21.84,B,25.22,B
Angola,13.02,B,30.83,B,68.13,B,71.44,B,65.25,B,74.00,B,92.76,B,62.82,B,89.46,B,70.65,B,33.80,B,29.51,B,27.97,B,30.91,B,31.57,B,33.47,B,30.72,B,18.82,B,23.28,B,23.54,B,26.12,B,24.32,B,25.66,B,22.64,B,22.26,B,22.56,B,28.88,B,32.60,B
Benin,9.71,B,13.71,B,14.91,B,15.30,B,15.42,B,14.55,B,13.68,B,14.62,B,14.99,B,16.18,B,17.11,B,17.25,B,15.76,B,17.08,B,15.41,B,14.35,B,13.10,B,16.82,B,14.66,B,16.45,B,14.00,B,18.62,B,17.01,B,23.01,B,21.20,B,20.51,B,16.80,B,20.47,B
Botswana,40.33,B,37.50,B,30.93,B,28.48,B,25.20,B,24.87,B,24.22,B,23.18,B,26.19,B,27.80,B,28.11,B,31.30,B,25.60,B,25.61,B,28.44,B,30.86,B,32.59,B,35.44,B,32.00,B,30.43,B,28.17,B,35.08,B,44.42,B,45.96,B,45.65,B,46.89,B,47.67,B,41.70,B
Burkina Faso,17.85,B,18.95,B,16.75,B,14.84,B,18.80,B,16.44,B,14.47,B,14.98,B,13.46,B,12.54,B,12.17,B,10.07,B,7.93,B,11.26,B,12.95,B,12.99,B,12.37,B,13.33,B,12.71,B,17.70,B,16.11,B,18.99,B,21.42,B,19.10,B,14.61,B,24.19,B,23.71,B,23.46,B
Burundi,3.41,B,3.25,B,3.66,B,4.52,B,2.62,B,2.59,B,3.90,B,3.77,B,4.29,B,9.31,B,4.14,B,5.00,B,5.04,B,9.56,B,9.18,B,6.59,B,7.70,B,6.37,B,3.85,B,2.81,B,6.69,B,7.37,B,3.82,B,4.71,B,5.59,B,6.00,B,5.98,B,6.12,B
Cabo Verde,27.17,B,26.85,B,27.81,B,30.28,B,34.54,B,31.33,B,34.18,B,28.28,B,22.41,B,23.42,B,22.56,B,19.99,B,28.69,B,21.87,B,28.03,B,25.74,B,25.79,B,32.56,B,35.80,B,34.22,B,37.61,B,33.87,B,30.51,B,22.47,B,24.83,B,26.52,B,31.66,B,34.93,B
Cameroon,12.59,B,11.90,B,9.73,B,13.39,B,11.73,B,11.92,B,11.05,B,11.86,B,12.53,B,12.57,B,13.45,B,21.01,B,20.97,B,19.23,B,19.91,B,20.02,B,18.72,B,17.39,B,18.65,B,19.29,B,20.44,B,22.18,B,19.95,B,20.03,B,20.61,B,19.44,B,20.79,B,19.27,B
Central African Republic,13.62,B,16.76,B,12.98,B,10.01,B,11.12,B,13.47,B,5.95,B,9.99,B,7.32,B,8.85,B,8.51,B,10.43,B,11.29,B,6.08,B,8.96,B,11.54,B,8.57,B,9.66,B,11.63,B,10.70,B,11.02,B,9.48,B,11.93,B,5.78,B,16.44,B,7.41,B,10.51,B,12.58,B
"Congo, Democratic Republic of the",12.46,B,9.84,B,7.68,B,6.25,B,6.63,B,6.36,B,5.50,B,5.52,B,5.57,B,6.22,B,5.83,B,6.46,B,9.19,B,8.59,B,6.56,B,7.50,B,8.04,B,9.03,B,9.07,B,13.80,B,13.99,B,14.68,B,18.49,B,18.49,B,22.13,B,14.91,B,15.80,B,19.43,B
"Congo, Republic of",15.56,B,16.33,B,17.98,B,25.09,B,45.34,B,28.92,B,18.07,B,14.12,B,20.90,B,15.16,B,14.59,B,12.98,B,9.93,B,10.22,B,13.30,B,15.82,B,17.35,B,29.01,B,28.53,B,21.70,B,28.15,B,22.25,B,17.87,B,21.46,B,21.61,B,28.89,B,36.18,B,32.29,B
C™te d'Ivoire,5.32,B,5.49,B,5.67,B,5.13,B,0.97,B,4.89,B,11.22,B,11.47,B,10.44,B,10.36,B,7.73,B,7.90,B,10.66,B,7.72,B,8.20,B,7.64,B,8.78,B,11.10,B,11.54,B,10.26,B,12.55,B,8.51,B,11.49,B,12.76,B,15.41,B,16.36,B,16.18,B,15.36,B
Equatorial Guinea,2.49,B,3.68,B,2.45,B,2.51,B,3.96,B,28.68,B,61.13,B,42.33,B,42.50,B,40.50,B,46.20,B,35.50,B,14.00,B,22.80,B,17.32,B,17.52,B,17.39,B,18.42,B,20.18,B,25.37,B,17.73,B,23.58,B,25.78,B,16.08,B,9.10,B,5.09,B,1.97,B,2.07,B
Eswatini,67.52,B,60.86,B,58.41,B,45.63,B,52.87,B,50.84,B,49.61,B,51.22,B,56.19,B,37.27,B,27.67,B,30.43,B,27.95,B,24.25,B,25.10,B,21.25,B,18.18,B,17.04,B,14.19,B,12.43,B,9.92,B,11.93,B,13.57,B,14.17,B,12.59,B,11.01,B,10.44,B,7.39,B
Ethiopia,6.76,B,8.17,B,7.56,B,9.47,B,11.45,B,6.16,B,10.13,B,6.49,B,9.39,B,8.61,B,11.60,B,11.35,B,9.26,B,8.66,B,10.93,B,9.44,B,9.08,B,7.56,B,7.64,B,9.80,B,13.23,B,13.01,B,21.65,B,24.64,B,26.83,B,35.05,B,38.60,B,33.60,B
Gabon,14.83,B,16.50,B,14.64,B,14.30,B,13.20,B,12.64,B,13.99,B,17.31,B,17.17,B,12.37,B,14.31,B,15.97,B,18.57,B,16.28,B,15.29,B,14.95,B,16.37,B,16.65,B,19.31,B,18.89,B,23.52,B,22.02,B,20.35,B,22.50,B,19.71,B,24.37,B,26.17,B,25.71,B
Ghana,53.76,B,60.85,B,45.77,B,43.60,B,47.12,B,40.33,B,48.32,B,46.85,B,43.66,B,29.98,B,52.57,B,63.39,B,34.87,B,50.70,B,59.45,B,57.60,B,66.08,B,71.57,B,71.26,B,53.56,B,36.42,B,40.23,B,48.23,B,35.60,B,33.31,B,32.16,B,35.37,B,32.09,B
Guinea,6.84,B,6.39,B,5.50,B,5.80,B,5.55,B,5.82,B,5.49,B,5.86,B,5.17,B,5.98,B,5.85,B,5.42,B,5.96,B,6.76,B,9.08,B,11.03,B,12.50,B,15.05,B,15.99,B,15.15,B,7.89,B,4.76,B,13.63,B,12.05,B,10.95,B,4.11,B,6.87,B,19.11,B
Guinea-Bissau,3.04,B,3.85,B,4.47,B,3.43,B,2.39,B,0.91,B,1.29,B,0.81,B,0.88,B,1.79,B,2.09,B,3.06,B,2.46,B,3.69,B,2.51,B,2.06,B,2.12,B,3.66,B,1.31,B,1.28,B,1.05,B,1.30,B,2.16,B,5.10,B,2.90,B,1.46,B,0.92,B,1.56,B
Kenya,11.30,B,9.80,B,9.49,B,9.09,B,10.33,B,11.11,B,11.42,B,12.11,B,12.52,B,12.31,B,13.29,B,14.13,B,12.58,B,11.54,B,11.87,B,14.51,B,16.09,B,15.42,B,17.07,B,17.06,B,16.78,B,16.49,B,18.26,B,17.55,B,18.85,B,21.06,B,16.47,B,12.50,B
Lesotho,33.33,B,34.93,B,34.53,B,29.15,B,27.98,B,22.12,B,24.02,B,21.36,B,21.84,B,19.00,B,18.29,B,17.98,B,14.21,B,14.70,B,17.92,B,16.34,B,18.85,B,19.95,B,24.01,B,21.35,B,20.88,B,18.91,B,23.71,B,18.55,B,20.98,B,21.18,B,20.76,B,18.15,B
Madagascar,4.94,B,3.83,B,5.19,B,4.15,B,3.48,B,4.26,B,4.99,B,4.70,B,6.48,B,5.80,B,7.50,B,8.95,B,7.00,B,10.40,B,10.19,B,9.29,B,11.68,B,13.84,B,27.65,B,26.84,B,23.40,B,18.15,B,15.61,B,14.61,B,15.11,B,13.33,B,13.30,B,12.25,B
Malawi,13.68,B,20.45,B,16.79,B,12.93,B,9.51,B,9.73,B,7.90,B,8.62,B,7.29,B,8.35,B,7.84,B,8.41,B,4.51,B,7.42,B,8.04,B,8.88,B,18.42,B,20.04,B,15.61,B,13.65,B,10.76,B,8.62,B,7.74,B,7.27,B,8.14,B,8.67,B,7.76,B,8.33,B
Mali,15.62,B,14.63,B,15.31,B,15.37,B,14.45,B,17.44,B,18.22,B,16.29,B,13.87,B,11.84,B,6.58,B,7.63,B,9.07,B,8.39,B,10.22,B,10.31,B,10.69,B,9.35,B,10.47,B,13.29,B,9.70,B,13.16,B,7.48,B,11.88,B,9.39,B,9.49,B,8.85,B,8.30,B
Mauritius,25.98,B,24.50,B,24.12,B,24.28,B,26.50,B,19.70,B,20.07,B,21.47,B,18.39,B,24.17,B,20.82,B,22.95,B,21.47,B,23.17,B,20.11,B,21.77,B,24.95,B,24.27,B,26.69,B,29.58,B,25.71,B,25.29,B,24.79,B,23.03,B,21.60,B,19.81,B,19.70,B,20.65,B
Mozambique,11.49,B,12.25,B,3.33,B,4.04,B,5.39,B,5.44,B,7.28,B,8.18,B,6.12,B,7.58,B,10.65,B,9.92,B,3.09,B,9.58,B,6.58,B,6.55,B,7.57,B,3.95,B,4.28,B,5.49,B,2.69,B,6.98,B,18.28,B,42.83,B,49.37,B,33.47,B,25.42,B,31.01,B
Namibia,14.81,B,9.96,B,11.26,B,11.82,B,15.57,B,16.88,B,20.38,B,17.00,B,16.86,B,19.80,B,13.59,B,23.55,B,20.42,B,21.24,B,18.90,B,19.63,B,24.10,B,27.51,B,29.22,B,35.76,B,35.58,B,29.39,B,32.73,B,40.27,B,52.97,B,55.85,B,37.89,B,25.69,B
Niger,14.48,B,7.20,B,9.30,B,6.18,B,7.62,B,6.38,B,6.31,B,10.63,B,9.57,B,7.77,B,7.44,B,10.07,B,10.13,B,9.32,B,10.42,B,11.28,B,12.87,B,13.76,B,17.50,B,26.23,B,26.44,B,35.22,B,32.04,B,27.66,B,26.10,B,25.16,B,21.83,B,24.67,B
Nigeria,17.29,B,16.59,B,15.95,B,13.17,B,13.07,B,9.03,B,10.93,B,11.92,B,9.95,B,10.01,B,11.42,B,1.32,B,0.87,B,2.79,B,10.39,B,11.36,B,16.26,B,11.93,B,11.03,B,13.86,B,16.62,B,14.37,B,15.30,B,15.48,B,16.77,B,16.60,B,16.04,B,14.61,B
Rwanda,4.26,B,3.95,B,4.69,B,4.85,B,2.30,B,3.52,B,3.97,B,4.08,B,4.21,B,4.70,B,5.12,B,4.72,B,5.68,B,6.45,B,9.13,B,8.44,B,8.44,B,10.67,B,11.82,B,12.73,B,12.78,B,12.15,B,12.62,B,14.20,B,12.80,B,13.72,B,15.59,B,17.93,B
Senegal,13.06,B,13.85,B,14.28,B,13.23,B,14.80,B,15.57,B,15.41,B,14.71,B,15.91,B,16.58,B,15.74,B,17.66,B,17.41,B,16.76,B,17.33,B,17.55,B,18.45,B,19.13,B,19.83,B,19.93,B,18.50,B,18.05,B,19.20,B,21.50,B,23.52,B,23.93,B,25.21,B,25.34,B
Sierra Leone,5.73,B,6.11,B,6.19,B,2.46,B,3.53,B,3.40,B,6.05,B,4.21,B,2.89,B,0.69,B,4.71,B,2.69,B,6.64,B,7.23,B,6.80,B,7.77,B,6.63,B,6.14,B,7.17,B,5.26,B,15.52,B,34.15,B,22.75,B,14.65,B,10.60,B,11.70,B,9.22,B,6.43,B
South Africa,15.84,B,15.16,B,14.36,B,14.21,B,15.98,B,17.99,B,18.97,B,19.48,B,19.92,B,17.57,B,17.27,B,17.09,B,17.12,B,18.26,B,19.61,B,20.73,B,22.22,B,24.04,B,25.75,B,24.49,B,22.92,B,23.54,B,23.64,B,24.49,B,24.23,B,24.58,B,22.90,B,22.81,B
Sudan,5.07,B,5.49,B,7.74,B,7.74,B,9.05,B,8.61,B,18.38,B,17.09,B,37.82,B,23.34,B,18.73,B,15.08,B,31.60,B,39.64,B,44.81,B,42.93,B,42.52,B,42.10,B,40.38,B,42.51,B,45.85,B,44.69,B,47.34,B,47.93,B,49.53,B,49.65,B,49.65,B,50.19,B
Tanzania,14.17,B,24.23,B,25.59,B,20.61,B,20.94,B,17.40,B,18.55,B,19.36,B,22.06,B,24.12,B,22.57,B,24.16,B,27.30,B,28.06,B,27.55,B,29.72,B,33.23,B,37.20,B,38.88,B,36.40,B,36.34,B,41.52,B,41.20,B,39.94,B,44.17,B,47.00,B,49.82,B,49.02,B
Togo,24.58,B,10.74,B,11.87,B,6.40,B,9.26,B,13.83,B,12.98,B,11.60,B,17.63,B,11.32,B,13.72,B,16.53,B,17.57,B,19.29,B,18.51,B,20.24,B,19.66,B,18.02,B,20.39,B,20.80,B,18.99,B,22.00,B,19.95,B,20.61,B,21.86,B,21.34,B,21.50,B,15.80,B
Uganda,6.02,B,5.72,B,14.64,B,15.04,B,18.75,B,23.60,B,22.30,B,22.93,B,22.59,B,21.26,B,20.92,B,22.65,B,23.15,B,24.09,B,25.86,B,28.19,B,29.13,B,31.01,B,29.21,B,30.21,B,29.20,B,31.67,B,32.33,B,32.24,B,30.01,B,28.35,B,26.66,B,26.06,B
Zambia,12.81,B,10.16,B,9.64,B,12.30,B,11.99,B,10.04,B,13.34,B,14.95,B,19.25,B,21.51,B,26.50,B,32.12,B,29.13,B,32.76,B,32.24,B,33.34,B,33.60,B,40.97,B,42.14,B,39.73,B,37.39,B,41.91,B,34.56,B,33.64,B,40.80,B,52.04,B,49.55,B,55.21,B
Advanced Economy,26.07,B,24.99,B,24.12,B,23.48,B,23.57,B,23.79,B,24.92,B,25.40,B,26.05,B,25.11,B,24.73,B,24.37,B,23.16,B,23.05,B,23.25,B,24.45,B,25.11,B,25.56,B,24.77,B,21.86,B,20.43,B,21.05,B,21.59,B,21.42,B,21.92,B,22.50,B,22.90,B,22.75,B
Emerging Economy,20.20,B,19.47,B,19.23,B,19.48,B,19.88,B,20.49,B,21.56,B,21.42,B,21.69,B,20.92,B,19.64,B,19.43,B,18.53,B,18.39,B,19.22,B,21.23,B,21.87,B,22.40,B,23.51,B,21.70,B,20.72,B,21.23,B,21.72,B,21.95,B,21.93,B,21.90,B,22.13,B,22.05,B
Low Income Developing,12.11,B,12.02,B,11.97,B,11.70,B,12.50,B,12.56,B,13.03,B,12.75,B,13.65,B,13.05,B,13.32,B,14.41,B,13.93,B,15.56,B,16.53,B,16.66,B,17.60,B,18.84,B,19.31,B,19.18,B,18.27,B,19.54,B,20.07,B,19.47,B,20.52,B,21.03,B,20.94,B,21.33,B